trial,score,validity_rate,delivery_fraction,avg_cost,n_runs,n_valid,elapsed_s,pruned,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
45,430.81363630133393,1.0,1.0,430.81363630133393,10,10,10.183856725692749,False,1.4436558873611078,0.6074684959232844,3.484879506943312,6.539489827954587,1.9253603825697945,0.7032371409361939,0.33627201704233817,0.8676463098145031,1.6652115263105947,2.2861281782143204,1.7846975363437352
46,432.73981143332196,1.0,1.0,432.73981143332196,10,10,9.78639841079712,False,1.2288689890305442,0.09081543054389635,2.5026242188322945,5.844849311077426,1.263897463994189,0.46359703547091746,0.7782559145751293,1.0272513289573486,1.4327117330293169,1.1291008216360323,2.003195111200124
47,447.45981582977873,1.0,1.0,447.45981582977873,10,10,11.25260591506958,False,2.5672353543630657,0.9927224348802691,3.027683673841329,4.8823105970740475,3.763020870224486,0.8041992329266102,1.3285510378273622,1.7255694669019601,0.8311831200267414,2.655091999569291,1.7176408999700308
48,1000000000.0,0.0,0.0,0.0,10,0,3.5363149642944336,False,1.0012426234525353,0.8004081655055031,2.6453714424568204,7.583414555077724,2.858171237256428,1.1701619828054168,2.6873291598957616,2.349558164330901,0.6166865546048881,2.118819578703741,2.214895947866389
49,422.9320515628048,1.0,1.0,422.9320515628048,10,10,10.394545555114746,False,1.406745725135689,0.17410444554465157,2.21951894229288,6.819796600789549,5.145956365609196,1.3521743486611568,0.3390490548223072,0.5770953149874356,0.9883217520334004,0.10737546013441612,1.570374253727093
50,476190476.1904762,0.0,0.5238095238095238,0.0,10,0,59.542438983917236,False,1.8241381109753292,0.1707454876950823,2.231278299138048,6.105860929642168,4.978675327475274,1.3549146299233668,1.8239295129056945,2.1270082531397665,0.9169198479839266,0.5309969366191811,1.4508880897973762
51,428.2440438688811,1.0,1.0,428.2440438688811,10,10,10.02125859260559,False,1.418542343477798,0.11945332347219681,1.9978749278984045,6.880763405483564,4.230579098126764,0.963155377725405,0.33531280372210626,0.6392884190491573,1.1673568460149173,0.05608543865277386,1.9173582881842945
52,423.87743900698706,1.0,1.0,423.87743900698706,10,10,10.616689443588257,False,1.1635201400871136,0.1428740154438317,2.7944137284234465,6.5054354808606,5.308188491533249,0.7298602841647746,0.5993573114316103,0.8583759232774258,1.0225382877692228,1.7172061203368656,1.5875815756125795
53,422.33815480170904,1.0,1.0,422.33815480170904,10,10,10.702169179916382,False,1.603984816334747,0.15223650540900674,2.801720264435814,6.4215599589636945,5.29488815784372,1.541193103135319,0.3135619587621306,1.3785543968275855,0.963635052914577,1.7349896818961572,1.6351224958675683
54,424.4086311740988,1.0,1.0,424.4086311740988,10,10,10.994110822677612,False,1.5783494555137896,0.14745275272535804,2.810867128751603,6.44536020731631,4.760423608516372,1.864545822933649,0.583655612403477,1.5219455292840662,0.9927368786847319,1.3842197756681194,1.6056617670040374
