trial,score,validity_rate,avg_cost,n_runs,n_valid,elapsed_s,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
9,322.34792739799246,1.0,322.34792739799246,30,30,7.30510950088501,False,1.453425511659038,0.054936415317897,2.7274364394232316,3.2004918675342866,4.559994838152919,3.6395092483117626,1.0722396936806122,3.577871922767223,2.266653415629146,0.6863944964748674,0.23093972948637898
10,1000000000.0,0.0,0.0,30,0,14.803074359893799,False,6.8186195754143535,0.3883941904924757,3.8933798877575296,5.022323266615578,1.1075741612967305,0.2510282798486152,1.0962294891842763,7.821049248934964,0.29090633924483944,2.97708799638101,0.8422828627191128
11,324.8990891412358,1.0,324.8990891412358,30,30,7.266638517379761,False,5.961359627719514,0.06202944876259913,2.7965886845157524,3.3976119561642966,3.6732032895166773,3.9643475921090467,0.9496289769617157,5.363100177897434,2.6290614969424864,1.251154814257557,0.9653015328007941
12,302.56561728455324,1.0,302.56561728455324,30,30,6.568249225616455,False,4.082883513503251,0.10273028568815318,2.696750308395824,3.767796885627754,3.91202090511337,3.984464473814997,0.7197372712501156,2.843649947818234,2.2879025612522867,0.8399729258109137,0.823505271227537
13,309.1334802285146,1.0,309.1334802285146,30,30,6.325852155685425,False,9.966121365984183,0.10437005098995727,2.9254313450949794,5.28215723428826,7.757365622458185,3.148825204565477,0.5458478583915654,1.9426990894129683,2.2995670324176327,1.679640531167207,0.9587558463196564
14,366666975.83782405,0.6333333333333333,309.1711573792274,30,19,13.922067165374756,False,3.19230148208247,0.26952784772178723,2.346698428837574,3.9437281693227515,3.383465469947752,2.982749200795202,1.5615479249169573,5.118308874300325,2.986492803597511,2.24412995092169,0.7150614769491068
15,303.4612707778989,1.0,303.4612707778989,30,30,7.577891111373901,False,4.242967637063762,0.09608173125704073,3.4736264123083305,5.674307363517158,2.646423277410512,0.12546678393818533,0.48611473192392907,2.53951895742422,1.9340353277849767,1.0823401068184402,1.2740090192431748
16,309.3061217408953,1.0,309.3061217408953,30,30,6.470412015914917,False,11.067325278261885,0.09753810311841779,3.7808186375335855,4.116444532706599,3.6866151741929993,0.22440720219759908,0.6782125701877779,2.480527748467777,2.5071308865304625,1.0701119091242128,1.4237801228895228
17,500000404.9590895,0.5,404.95908954738326,12,6,2.3429794311523438,True,5.027154049283589,0.09070072902266166,3.4665609178715444,2.1507771632699,2.913813933045003,2.448249081046403,2.726052148152296,2.757728699939503,1.8661252541845392,0.302637689507953,1.438059532170728
18,275.030507739048,1.0,275.030507739048,30,30,6.7732930183410645,False,9.642584039338963,0.15261377631842235,2.054490067698621,5.698079805794523,5.586428534049563,3.2729712420358474,1.5761130893893949,1.6052682488794923,1.4790785856620843,0.9154370182260517,1.1823850896839745
