trial,score,validity_rate,avg_cost,n_runs,n_valid,elapsed_s,pruned,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
34,149.16768449537417,1.0,149.16768449537417,20,20,1.098728895187378,True,6.8754178600489535,0.06942402814484376,2.56111513034165,1.6254751144905324,2.524425557499116,3.2469289679450686,0.8935245494599064,3.000922425789204,1.81023249472555,1.92326393503834,1.0660061824701361
35,250000132.03190303,0.75,132.0319030360736,20,15,2.6743621826171875,True,2.911953477972815,0.17722440233779427,3.5061845468484405,5.06752850522861,4.4964062740515995,2.762994848270824,2.2801338196563368,1.696916071851655,1.2829329948524533,0.8544099693596656,1.3100820574074563
36,298.3902341111095,1.0,298.3902341111095,50,50,10.940461158752441,False,1.0526334553851973,0.09354220220026128,2.9999836647403773,4.603838116953151,3.100916087498624,3.789907880839212,1.9235600715679393,1.144487580708947,2.765767587189498,1.379068213038868,1.7962256725289385
37,304.87947506620935,1.0,304.87947506620935,50,50,10.260334730148315,False,1.05916704036396,0.06340737246693595,2.9602173198675135,4.817186707502133,3.190796334183603,3.706743741998895,1.8577260982505095,1.1510988092664671,2.7913951797346903,1.4408036755194424,2.575682540074807
38,250000136.51479152,0.75,136.51479151537907,20,15,2.577873945236206,True,1.2740428161364847,0.0643572986693381,2.9791542584515005,4.822647930703549,3.152430227083703,3.6944769285829833,2.0841310479826727,0.9546786508680892,2.7901669007521552,1.5615053043992457,2.9894579205015375
39,250000143.7762392,0.75,143.7762391741017,20,15,2.474148750305176,True,1.0026324664714075,0.057438493708106705,3.2637769537476653,4.490501328418517,2.1985120324248317,3.046283578039007,1.8608026323949165,1.0567891050484661,2.717453573216366,1.9450324618584989,2.5827092315186784
40,500000143.17176676,0.5,143.17176677694036,20,10,2.9033422470092773,True,1.037010854709673,0.7945881665836324,3.743966299740965,6.277252199904154,3.515833315885569,3.35029377646662,2.45716767137686,1.6796395851080792,2.914814148672166,1.3347056363552259,2.4706213559159713
41,100000299.74978593,0.9,299.74978593937277,50,45,13.926376581192017,False,1.9146229041071658,0.08685605614855826,3.3806643884387326,5.517129042313942,2.96709978993285,3.5856404044798995,1.8581911953498214,2.4338756341212413,2.438424877272554,1.3911799383398575,1.8039009707474627
42,1000000000.0,0.0,0.0,20,0,5.3192737102508545,True,1.1917589567065177,0.05033497236406603,3.9792364511970106,4.865435361876116,2.529540908579197,3.7538953015988734,2.98458788790764,0.5589488023990418,2.6718795374148003,1.1557264010685389,2.1231120484922936
43,1000000000.0,0.0,0.0,20,0,5.714393138885498,True,11.055441786891967,0.06959633108758866,3.624310150146391,4.269036203048032,4.40149845674121,0.8226280923337801,3.359921165595252,2.492151329062719,2.828053157279358,1.5587897277781786,1.925172710249588
44,1000000000.0,0.0,0.0,20,0,5.032697677612305,True,1.5837226116182939,0.13063499799164363,2.82602992007147,3.3722977098472406,1.948145814840386,2.0162931775978667,3.8916092984100943,1.6066976609474248,2.446937377353948,1.0974994199793864,1.5592585286240104
45,1000000000.0,0.0,0.0,20,0,5.608739137649536,True,9.011883388586615,0.09609049624837204,3.1172876513423344,6.7683791025051,3.6834149766862048,1.441262501574745,2.576303067874217,1.1513737890574498,2.8530987768767866,1.6233658550105552,1.7547681155610722
46,250000145.52357066,0.75,145.52357065704675,20,15,2.3088715076446533,True,20.31147866749603,0.11436085246972658,3.357064508221725,5.845585339779938,3.163884196576481,2.9262376517351503,1.2507817283873481,5.861528058330377,2.600277977029229,1.8279293915846229,2.9958308376336236
47,309.2486398998478,1.0,309.2486398998478,50,50,11.363337993621826,False,2.3319012865872795,0.0799668287415829,3.8138385767370355,5.4151612496529795,4.92199377304336,3.871685868585777,2.2214193826675936,3.2596501882377282,2.1033066380557104,1.3469932318478814,2.2330107305461047
48,500000143.0278113,0.5,143.0278112911382,20,10,0.5777578353881836,True,1.3781627503258693,0.05789880839285376,1.3475506475441332,5.085761680703264,2.58949175211871,0.3079859175372093,1.0459075754329867,0.8190226551744046,2.3433321454790152,0.9915587046428644,2.015797387295919
49,1000000000.0,0.0,0.0,20,0,5.656779527664185,True,28.7417369733638,0.15675905824042424,2.5875150133660645,3.55835338502818,7.440363985006442,3.2816124132592575,3.552467339226789,7.734063941209967,2.518962560584828,0.5914728915557578,1.7082608786347142
50,1000000000.0,0.0,0.0,20,0,5.4691479206085205,True,11.39320024874759,0.2510780896070278,0.542770503290454,4.612985864937645,1.347311497862817,0.6114384996999027,1.7207417379577488,1.9951047859529418,1.1956209655949417,1.243859175104429,2.35665577289757
51,305.34142214661694,1.0,305.34142214661694,50,50,9.367072582244873,False,5.152642300028855,0.10635168217877133,2.820959181170425,3.6788704967272143,3.9027807288791183,3.803847110804005,0.25871575457293106,3.726150326108452,2.194471192648173,0.9056264001908862,0.9400725952297542
52,146.65343978159854,1.0,146.65343978159854,20,20,1.0254333019256592,True,6.813963660361087,0.1069962293491662,2.943254463670113,3.0299115157207206,4.180580767837871,3.563949024799273,0.3640100606799301,3.8052286175802683,2.659071021345178,0.8569128879664835,1.2099268513524923
53,147.0762704076805,1.0,147.0762704076805,20,20,0.9219698905944824,True,4.956690771739711,0.1410367334908239,3.1858252336547137,4.149133089853845,3.5165014151256213,3.81292553926467,0.26515234129646764,4.700677629778656,2.1317570500225878,0.34455286497554855,0.9041828708773285
54,147.27972947546988,1.0,147.27972947546988,20,20,1.1519370079040527,True,6.239181236925881,0.07311522741265924,2.707903887764814,4.4334277860703315,3.0079683030433286,3.4978412879125833,0.5093980704601702,2.6111486467124805,2.352403586665998,1.0816635019680525,1.3647845797512903
55,147.0501863977378,1.0,147.0501863977378,20,20,0.973914623260498,True,8.063698360782011,0.08871274791368496,3.568647545933514,3.7749373926414225,5.245691488387331,3.9669605076443144,0.2388852396229118,4.319014440200141,1.896343701902275,0.7254182056712983,1.5333198447483702
56,500000139.76996255,0.5,139.76996256053235,20,10,3.104976177215576,True,1.123829819748269,0.06427657130837203,2.0737091214144163,6.127799907334384,2.723333401000472,3.754718068314185,1.9621836967753175,3.1599659609015704,2.24178782765792,1.228721776667274,1.029234108553419
57,500000141.7814512,0.5,141.78145124213614,20,10,3.112020969390869,True,12.768457704330299,0.5335265706882351,2.853492858420415,4.834969995331966,3.3423064250362904,3.0811581628520455,0.24258652077061824,2.2635079368697655,0.7504333207492964,0.8814413045715965,0.3769108050077712
58,295.8212832544955,1.0,295.8212832544955,50,50,9.205697774887085,False,1.5989887136950962,0.12021002390508136,2.3983941446953994,3.3333099146860157,3.8705555406215644,2.310521037600806,1.644509914235011,3.6082551628732906,2.5457914140459503,2.5314742061800644,1.17005480162375
59,293.8449930238053,1.0,293.8449930238053,50,50,11.433435916900635,False,1.5157870503240072,0.12138588883310264,2.2346840119141302,1.9968611076574319,3.8180178539557454,2.507715647356281,1.6288129047828324,4.4226719612276435,2.5484989108050313,2.531794420249732,0.7068888961185854
60,150000152.3679164,0.85,152.367916361732,20,17,1.2032978534698486,True,1.4925809858649706,0.19971710438927104,2.245747310405069,1.8665616203663946,4.2409633227741415,2.279845652520541,1.624074687423531,5.461047976012609,2.7292793223808562,2.3856744960019904,0.7525975063206682
61,1000000000.0,0.0,0.0,20,0,3.291779041290283,True,1.7162419240913043,0.11911213321666692,1.902212516371774,2.1316759464330235,3.7766622771737053,2.5363900748400554,1.392655285927558,4.044294916512669,0.03904604163923109,2.5974090613248277,1.1393487421358417
